,,MATERIAL ORDERING,,,,,,,,DO NOT EDIT THIS COLUMN,,,,,
,,,430001-A691,List-Tooling DRC V1.0,,FALSE,,,,,,,,,
,,10,430001-A276,Module-Rotary-V2.0,,FALSE,,,,,,,,,
VISION,CATEGORY,ITEM,VISION,DESCRIPTION,QTY,RELEASED,DATE RELEASED,RELEASE TYPE,REMARK,,,,,,
,Vision B2K,1,430001-A013,Module-Mark Package Vision-B2K,,TRUE,09/12/2025,,,,,,,,
,Vision B2K,2,430000-A758,Module- Position Check Pad Package - B2K,,TRUE,10/12/2025,,,,,,,,
,Vision Fixed Spec,3,430001-A016,Module-Waffle Position Check Mark Package Vision,,TRUE,15/12/2025,,,,,,,,
,Vision Fixed Spec,4,430001-A010,Module-In-Pocket Unit Seating Vision,,FALSE,,,,,,,,,
,Vision Fixed Spec,5,430001-A016,Module-Waffle Position Check Mark Package Vision,,FALSE,,,,,,,,,
,Vision B2K,6,430000-A758,Module- Position Check Pad Package - B2K,,FALSE,,,,,,,,,
,Vision S4K,7,430001-A357,Module-In-Pocket Mark Package Vision-S4K,,FALSE,,,,,,,,,
,Vision Fixed Spec,8,430001-A012,Module-Tape Seal Vision,,FALSE,,,,,,,,,
,Vision Fixed Spec,9,430000-A401,Module-3D BGA Pad Package Vision-B2K,,FALSE,,,,,,,,,
,Vision Fixed Spec,10,430000-A756,Position Check Vision 1,,FALSE,,,,,,,,,
TOOLING,,ITEM,TOOLING,DESCRIPTION,QTY,RELEASED,DATE RELEASED,RELEASE TYPE,REMARK,,,,,,MOQ CAL.
,,1,,,0,FALSE,,,,0,0,0,0,0,0
,,2,,,0,FALSE,,,,0,0,0,0,0,0
,,3,,,0,FALSE,,,,0,0,0,0,0,
,,4,,,0,FALSE,,,,0,0,0,0,0,
,,5,,,0,FALSE,,,,0,0,0,0,0,
,,6,,,0,FALSE,,,,0,0,0,0,0,
,,7,,,0,FALSE,,,,0,0,0,0,0,
,,8,,,0,FALSE,,,,0,0,0,0,0,
,,9,,,0,FALSE,,,,0,0,0,0,0,
,,10,,,0,FALSE,,,,0,0,0,0,0,
,,11,,,0,FALSE,,,,0,0,0,0,0,
,,12,,,0,FALSE,,,,0,0,0,0,0,
,,13,,,0,FALSE,,,,0,0,0,0,0,
,,14,,,0,FALSE,,,,0,0,0,0,0,
,,15,,,0,FALSE,,,,0,0,0,0,0,
,,16,,,0,FALSE,,,,0,0,0,0,0,
,,17,,,0,FALSE,,,,0,0,0,0,0,
,,18,,,0,FALSE,,,,0,0,0,0,0,
,,19,,,0,FALSE,,,,0,0,0,0,0,
,,20,,,0,FALSE,,,,0,0,0,0,0,
,,21,,,0,FALSE,,,,0,0,0,0,0,
,,22,,,0,FALSE,,,,0,0,0,0,0,
,,23,,,0,FALSE,,,,0,0,0,0,0,
,,24,,,0,FALSE,,,,0,0,0,0,0,
,,25,,,0,FALSE,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,
VCM,,ITEM,VCM,DESCRIPTION,QTY,RELEASED,DATE RELEASED,RELEASE TYPE,REMARK,,,,,,
,,1,,,3,FALSE,,,,,,,,,
,,2,,,1,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,
OTHERS,PART #:,ITEM,OTHERS,DESCRIPTION,QTY,RELEASED,DATE RELEASED,RELEASE TYPE,REMARK,,,,,,
,,1,,,,FALSE,,,,,,,,,
,,2,,,,FALSE,,,,,,,,,
,,3,,,,FALSE,,,,,,,,,
,,4,,,,FALSE,,,,,,,,,
,,5,,,,FALSE,,,,,,,,,
,,6,,,,FALSE,,,,,,,,,
,,7,,,,FALSE,,,,,,,,,
,,8,,,,FALSE,,,,,,,,,
,,9,,,,FALSE,,,,,,,,,
,,10,,,,FALSE,,,,,,,,,
,,11,,,,FALSE,,,,,,,,,
,,12,,,,FALSE,,,,,,,,,
,,13,,,,FALSE,,,,,,,,,
,,14,,,,FALSE,,,,,,,,,
,,15,,,,FALSE,,,,,,,,,
,,16,,,,FALSE,,,,,,,,,
,,17,,,,FALSE,,,,,,,,,
,,18,,,,FALSE,,,,,,,,,
,,19,,,,FALSE,,,,,,,,,
,,20,,,,FALSE,,,,,,,,,
,,21,,,,FALSE,,,,,,,,,
,,22,,,,FALSE,,,,,,,,,
,,23,,,,FALSE,,,,,,,,,
,,24,,,,FALSE,,,,,,,,,
,,25,,,,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,
SPARES,PART #:,ITEM,SPARES,DESCRIPTION,QTY,RELEASED,DATE RELEASED,RELEASE TYPE,REMARK,,,,,,
,,1,,,,FALSE,,,,,,,,,
,,2,,,,FALSE,,,,,,,,,
,,3,,,,FALSE,,,,,,,,,
,,4,,,,FALSE,,,,,,,,,
,,5,,,,FALSE,,,,,,,,,
,,6,,,,FALSE,,,,,,,,,
,,7,,,,FALSE,,,,,,,,,
,,8,,,,FALSE,,,,,,,,,
,,9,,,,FALSE,,,,,,,,,
,,10,,,,FALSE,,,,,,,,,
,,11,,,,FALSE,,,,,,,,,
,,12,,,,FALSE,,,,,,,,,
,,13,,,,FALSE,,,,,,,,,
,,14,,,,FALSE,,,,,,,,,
,,15,,,,FALSE,,,,,,,,,
,,16,,,,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,
JIG/CALIBRATION,PART #:,ITEM,JIG/CALIBRATION,DESCRIPTION,QTY,RELEASED,DATE RELEASED,RELEASE TYPE,REMARK,,,,,,
,,1,,,,FALSE,,,,,,,,,
,,2,,,,FALSE,,,,,,,,,
,,3,,,,FALSE,,,,,,,,,
,,4,,,,FALSE,,,,,,,,,
,,5,,,,FALSE,,,,,,,,,
,,6,,,,FALSE,,,,,,,,,
,,7,,,,FALSE,,,,,,,,,
,,8,,,,FALSE,,,,,,,,,
,,9,,,,FALSE,,,,,,,,,
,,10,,,,FALSE,,,,,,,,,
,,11,,,,FALSE,,,,,,,,,
,,12,,,,FALSE,,,,,,,,,
,,13,,,,FALSE,,,,,,,,,
,,14,,,,FALSE,,,,,,,,,
,,15,,,,FALSE,,,,,,,,,
,,16,,,,FALSE,,,,,,,,,
,,17,,,,FALSE,,,,,,,,,
,,18,,,,FALSE,,,,,,,,,
,,19,,,,FALSE,,,,,,,,,
,,20,,,,FALSE,,,,,,,,,
,,21,,,,FALSE,,,,,,,,,
,,22,,,,FALSE,,,,,,,,,
,,23,,,,FALSE,,,,,,,,,
,,24,,,,FALSE,,,,,,,,,
,,25,,,,FALSE,,,,,,,,,
,,26,,,,FALSE,,,,,,,,,
,,27,,,,FALSE,,,,,,,,,
,,28,,,,FALSE,,,,,,,,,
,,30,,,,FALSE,,,,,,,,,
